source_file	source_name	source_dtype	source_shape	source_offset	transformation	destination_name	destination_dtype	destination_shape	component	role
79999_iter.pth	cp.resnet.conv1.weight	F32	64,3,7,7	53251831	identity_bytes	cp.resnet.conv1.weight	F32	64,3,7,7	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.bn1.weight	F32	64	627783	identity_bytes	cp.resnet.bn1.weight	F32	64	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.bn1.bias	F32	64	628047	identity_bytes	cp.resnet.bn1.bias	F32	64	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.bn1.running_mean	F32	64	627255	identity_bytes	cp.resnet.bn1.running_mean	F32	64	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.bn1.running_var	F32	64	627519	identity_bytes	cp.resnet.bn1.running_var	F32	64	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer1.0.conv1.weight	F32	64,64,3,3	628855	identity_bytes	cp.resnet.layer1.0.conv1.weight	F32	64,64,3,3	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer1.0.bn1.weight	F32	64	776583	identity_bytes	cp.resnet.layer1.0.bn1.weight	F32	64	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer1.0.bn1.bias	F32	64	776319	identity_bytes	cp.resnet.layer1.0.bn1.bias	F32	64	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer1.0.bn1.running_mean	F32	64	777375	identity_bytes	cp.resnet.layer1.0.bn1.running_mean	F32	64	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer1.0.bn1.running_var	F32	64	776847	identity_bytes	cp.resnet.layer1.0.bn1.running_var	F32	64	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer1.0.conv2.weight	F32	64,64,3,3	777655	identity_bytes	cp.resnet.layer1.0.conv2.weight	F32	64,64,3,3	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer1.0.bn2.weight	F32	64	628311	identity_bytes	cp.resnet.layer1.0.bn2.weight	F32	64	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer1.0.bn2.bias	F32	64	628575	identity_bytes	cp.resnet.layer1.0.bn2.bias	F32	64	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer1.0.bn2.running_mean	F32	64	925383	identity_bytes	cp.resnet.layer1.0.bn2.running_mean	F32	64	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer1.0.bn2.running_var	F32	64	925119	identity_bytes	cp.resnet.layer1.0.bn2.running_var	F32	64	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer1.1.conv1.weight	F32	64,64,3,3	925663	identity_bytes	cp.resnet.layer1.1.conv1.weight	F32	64,64,3,3	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer1.1.bn1.weight	F32	64	777111	identity_bytes	cp.resnet.layer1.1.bn1.weight	F32	64	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer1.1.bn1.bias	F32	64	1073127	identity_bytes	cp.resnet.layer1.1.bn1.bias	F32	64	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer1.1.bn1.running_mean	F32	64	1073391	identity_bytes	cp.resnet.layer1.1.bn1.running_mean	F32	64	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer1.1.bn1.running_var	F32	64	1073655	identity_bytes	cp.resnet.layer1.1.bn1.running_var	F32	64	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer1.1.conv2.weight	F32	64,64,3,3	1073935	identity_bytes	cp.resnet.layer1.1.conv2.weight	F32	64,64,3,3	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer1.1.bn2.weight	F32	64	1221399	identity_bytes	cp.resnet.layer1.1.bn2.weight	F32	64	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer1.1.bn2.bias	F32	64	1221663	identity_bytes	cp.resnet.layer1.1.bn2.bias	F32	64	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer1.1.bn2.running_mean	F32	64	1221927	identity_bytes	cp.resnet.layer1.1.bn2.running_mean	F32	64	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer1.1.bn2.running_var	F32	64	1222191	identity_bytes	cp.resnet.layer1.1.bn2.running_var	F32	64	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer2.0.conv1.weight	F32	128,64,3,3	1222471	identity_bytes	cp.resnet.layer2.0.conv1.weight	F32	128,64,3,3	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer2.0.bn1.weight	F32	128	1517391	identity_bytes	cp.resnet.layer2.0.bn1.weight	F32	128	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer2.0.bn1.bias	F32	128	1517911	identity_bytes	cp.resnet.layer2.0.bn1.bias	F32	128	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer2.0.bn1.running_mean	F32	128	1518431	identity_bytes	cp.resnet.layer2.0.bn1.running_mean	F32	128	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer2.0.bn1.running_var	F32	128	1518951	identity_bytes	cp.resnet.layer2.0.bn1.running_var	F32	128	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer2.0.conv2.weight	F32	128,128,3,3	1519487	identity_bytes	cp.resnet.layer2.0.conv2.weight	F32	128,128,3,3	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer2.0.bn2.weight	F32	128	2109319	identity_bytes	cp.resnet.layer2.0.bn2.weight	F32	128	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer2.0.bn2.bias	F32	128	35863	identity_bytes	cp.resnet.layer2.0.bn2.bias	F32	128	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer2.0.bn2.running_mean	F32	128	2110359	identity_bytes	cp.resnet.layer2.0.bn2.running_mean	F32	128	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer2.0.bn2.running_var	F32	128	2110879	identity_bytes	cp.resnet.layer2.0.bn2.running_var	F32	128	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer2.0.downsample.0.weight	F32	128,64,1,1	2111415	identity_bytes	cp.resnet.layer2.0.downsample.0.weight	F32	128,64,1,1	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer2.0.downsample.1.weight	F32	128	35343	identity_bytes	cp.resnet.layer2.0.downsample.1.weight	F32	128	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer2.0.downsample.1.bias	F32	128	35863	identity_bytes	cp.resnet.layer2.0.downsample.1.bias	F32	128	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer2.0.downsample.1.running_mean	F32	128	2144191	identity_bytes	cp.resnet.layer2.0.downsample.1.running_mean	F32	128	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer2.0.downsample.1.running_var	F32	128	2144711	identity_bytes	cp.resnet.layer2.0.downsample.1.running_var	F32	128	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer2.1.conv1.weight	F32	128,128,3,3	36383	identity_bytes	cp.resnet.layer2.1.conv1.weight	F32	128,128,3,3	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer2.1.bn1.weight	F32	128	626215	identity_bytes	cp.resnet.layer2.1.bn1.weight	F32	128	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer2.1.bn1.bias	F32	128	2145247	identity_bytes	cp.resnet.layer2.1.bn1.bias	F32	128	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer2.1.bn1.running_mean	F32	128	2145767	identity_bytes	cp.resnet.layer2.1.bn1.running_mean	F32	128	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer2.1.bn1.running_var	F32	128	2146287	identity_bytes	cp.resnet.layer2.1.bn1.running_var	F32	128	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer2.1.conv2.weight	F32	128,128,3,3	2146823	identity_bytes	cp.resnet.layer2.1.conv2.weight	F32	128,128,3,3	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer2.1.bn2.weight	F32	128	2736655	identity_bytes	cp.resnet.layer2.1.bn2.weight	F32	128	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer2.1.bn2.bias	F32	128	2737175	identity_bytes	cp.resnet.layer2.1.bn2.bias	F32	128	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer2.1.bn2.running_mean	F32	128	2737695	identity_bytes	cp.resnet.layer2.1.bn2.running_mean	F32	128	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer2.1.bn2.running_var	F32	128	2738215	identity_bytes	cp.resnet.layer2.1.bn2.running_var	F32	128	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer3.0.conv1.weight	F32	256,128,3,3	2738751	identity_bytes	cp.resnet.layer3.0.conv1.weight	F32	256,128,3,3	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer3.0.bn1.weight	F32	256	3918407	identity_bytes	cp.resnet.layer3.0.bn1.weight	F32	256	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer3.0.bn1.bias	F32	256	3919439	identity_bytes	cp.resnet.layer3.0.bn1.bias	F32	256	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer3.0.bn1.running_mean	F32	256	3920471	identity_bytes	cp.resnet.layer3.0.bn1.running_mean	F32	256	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer3.0.bn1.running_var	F32	256	3921503	identity_bytes	cp.resnet.layer3.0.bn1.running_var	F32	256	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer3.0.conv2.weight	F32	256,256,3,3	3922551	identity_bytes	cp.resnet.layer3.0.conv2.weight	F32	256,256,3,3	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer3.0.bn2.weight	F32	256	6281855	identity_bytes	cp.resnet.layer3.0.bn2.weight	F32	256	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer3.0.bn2.bias	F32	256	6282887	identity_bytes	cp.resnet.layer3.0.bn2.bias	F32	256	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer3.0.bn2.running_mean	F32	256	6283919	identity_bytes	cp.resnet.layer3.0.bn2.running_mean	F32	256	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer3.0.bn2.running_var	F32	256	6284951	identity_bytes	cp.resnet.layer3.0.bn2.running_var	F32	256	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer3.0.downsample.0.weight	F32	256,128,1,1	6285999	identity_bytes	cp.resnet.layer3.0.downsample.0.weight	F32	256,128,1,1	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer3.0.downsample.1.weight	F32	256	6417079	identity_bytes	cp.resnet.layer3.0.downsample.1.weight	F32	256	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer3.0.downsample.1.bias	F32	256	6282887	identity_bytes	cp.resnet.layer3.0.downsample.1.bias	F32	256	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer3.0.downsample.1.running_mean	F32	256	6419143	identity_bytes	cp.resnet.layer3.0.downsample.1.running_mean	F32	256	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer3.0.downsample.1.running_var	F32	256	6420175	identity_bytes	cp.resnet.layer3.0.downsample.1.running_var	F32	256	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer3.1.conv1.weight	F32	256,256,3,3	6421223	identity_bytes	cp.resnet.layer3.1.conv1.weight	F32	256,256,3,3	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer3.1.bn1.weight	F32	256	8780527	identity_bytes	cp.resnet.layer3.1.bn1.weight	F32	256	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer3.1.bn1.bias	F32	256	8781559	identity_bytes	cp.resnet.layer3.1.bn1.bias	F32	256	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer3.1.bn1.running_mean	F32	256	8782591	identity_bytes	cp.resnet.layer3.1.bn1.running_mean	F32	256	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer3.1.bn1.running_var	F32	256	8783623	identity_bytes	cp.resnet.layer3.1.bn1.running_var	F32	256	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer3.1.conv2.weight	F32	256,256,3,3	8784671	identity_bytes	cp.resnet.layer3.1.conv2.weight	F32	256,256,3,3	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer3.1.bn2.weight	F32	256	11143975	identity_bytes	cp.resnet.layer3.1.bn2.weight	F32	256	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer3.1.bn2.bias	F32	256	11145007	identity_bytes	cp.resnet.layer3.1.bn2.bias	F32	256	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer3.1.bn2.running_mean	F32	256	11146039	identity_bytes	cp.resnet.layer3.1.bn2.running_mean	F32	256	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer3.1.bn2.running_var	F32	256	11147071	identity_bytes	cp.resnet.layer3.1.bn2.running_var	F32	256	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer4.0.conv1.weight	F32	512,256,3,3	11148119	identity_bytes	cp.resnet.layer4.0.conv1.weight	F32	512,256,3,3	semantic_segmenter_2d	weight
79999_iter.pth	cp.resnet.layer4.0.bn1.weight	F32	512	15866719	identity_bytes	cp.resnet.layer4.0.bn1.weight	F32	512	semantic_segmenter_2d	weight
