source_file	source_name	source_dtype	source_shape	source_offset	transformation	destination_name	destination_dtype	destination_shape	component	role
blaze_face_short_range.tflite	conv2d/Kernel	F16	24,5,5,3	202548	fp16_ohwi_to_fp32_oihw	stem.weight	F32	24,3,5,5	vision_detector_dense	weight
blaze_face_short_range.tflite	conv2d/Bias	F16	24	202488	fp16_to_fp32	stem.bias	F32	24	vision_detector_dense	weight
blaze_face_short_range.tflite	depthwise_conv2d/Kernel	F16	1,3,3,24	202044	fp16_1hwc_to_fp32_c1hw	blocks.0.depthwise.weight	F32	24,1,3,3	vision_detector_dense	weight
blaze_face_short_range.tflite	depthwise_conv2d/Bias	F16	24	201984	fp16_to_fp32	blocks.0.depthwise.bias	F32	24	vision_detector_dense	weight
blaze_face_short_range.tflite	conv2d_1/Kernel	F16	24,1,1,24	200820	fp16_ohwi_to_fp32_oihw	blocks.0.pointwise.weight	F32	24,24,1,1	vision_detector_dense	weight
blaze_face_short_range.tflite	conv2d_1/Bias	F16	24	200760	fp16_to_fp32	blocks.0.pointwise.bias	F32	24	vision_detector_dense	weight
blaze_face_short_range.tflite	depthwise_conv2d_1/Kernel	F16	1,3,3,24	200316	fp16_1hwc_to_fp32_c1hw	blocks.1.depthwise.weight	F32	24,1,3,3	vision_detector_dense	weight
blaze_face_short_range.tflite	depthwise_conv2d_1/Bias	F16	24	200256	fp16_to_fp32	blocks.1.depthwise.bias	F32	24	vision_detector_dense	weight
blaze_face_short_range.tflite	conv2d_2/Kernel	F16	28,1,1,24	198900	fp16_ohwi_to_fp32_oihw	blocks.1.pointwise.weight	F32	28,24,1,1	vision_detector_dense	weight
blaze_face_short_range.tflite	conv2d_2/Bias	F16	28	198832	fp16_to_fp32	blocks.1.pointwise.bias	F32	28	vision_detector_dense	weight
blaze_face_short_range.tflite	depthwise_conv2d_2/Kernel	F16	1,3,3,28	198272	fp16_1hwc_to_fp32_c1hw	blocks.2.depthwise.weight	F32	28,1,3,3	vision_detector_dense	weight
blaze_face_short_range.tflite	depthwise_conv2d_2/Bias	F16	28	198204	fp16_to_fp32	blocks.2.depthwise.bias	F32	28	vision_detector_dense	weight
blaze_face_short_range.tflite	conv2d_3/Kernel	F16	32,1,1,28	196400	fp16_ohwi_to_fp32_oihw	blocks.2.pointwise.weight	F32	32,28,1,1	vision_detector_dense	weight
blaze_face_short_range.tflite	conv2d_3/Bias	F16	32	196324	fp16_to_fp32	blocks.2.pointwise.bias	F32	32	vision_detector_dense	weight
blaze_face_short_range.tflite	depthwise_conv2d_3/Kernel	F16	1,3,3,32	195692	fp16_1hwc_to_fp32_c1hw	blocks.3.depthwise.weight	F32	32,1,3,3	vision_detector_dense	weight
blaze_face_short_range.tflite	depthwise_conv2d_3/Bias	F16	32	195616	fp16_to_fp32	blocks.3.depthwise.bias	F32	32	vision_detector_dense	weight
blaze_face_short_range.tflite	conv2d_4/Kernel	F16	36,1,1,32	193300	fp16_ohwi_to_fp32_oihw	blocks.3.pointwise.weight	F32	36,32,1,1	vision_detector_dense	weight
blaze_face_short_range.tflite	conv2d_4/Bias	F16	36	193216	fp16_to_fp32	blocks.3.pointwise.bias	F32	36	vision_detector_dense	weight
blaze_face_short_range.tflite	depthwise_conv2d_4/Kernel	F16	1,3,3,36	192512	fp16_1hwc_to_fp32_c1hw	blocks.4.depthwise.weight	F32	36,1,3,3	vision_detector_dense	weight
blaze_face_short_range.tflite	depthwise_conv2d_4/Bias	F16	36	192428	fp16_to_fp32	blocks.4.depthwise.bias	F32	36	vision_detector_dense	weight
blaze_face_short_range.tflite	conv2d_5/Kernel	F16	42,1,1,36	189392	fp16_ohwi_to_fp32_oihw	blocks.4.pointwise.weight	F32	42,36,1,1	vision_detector_dense	weight
blaze_face_short_range.tflite	conv2d_5/Bias	F16	42	189296	fp16_to_fp32	blocks.4.pointwise.bias	F32	42	vision_detector_dense	weight
blaze_face_short_range.tflite	depthwise_conv2d_5/Kernel	F16	1,3,3,42	188484	fp16_1hwc_to_fp32_c1hw	blocks.5.depthwise.weight	F32	42,1,3,3	vision_detector_dense	weight
blaze_face_short_range.tflite	depthwise_conv2d_5/Bias	F16	42	188388	fp16_to_fp32	blocks.5.depthwise.bias	F32	42	vision_detector_dense	weight
blaze_face_short_range.tflite	conv2d_6/Kernel	F16	48,1,1,42	184344	fp16_ohwi_to_fp32_oihw	blocks.5.pointwise.weight	F32	48,42,1,1	vision_detector_dense	weight
blaze_face_short_range.tflite	conv2d_6/Bias	F16	48	184236	fp16_to_fp32	blocks.5.pointwise.bias	F32	48	vision_detector_dense	weight
blaze_face_short_range.tflite	depthwise_conv2d_6/Kernel	F16	1,3,3,48	183316	fp16_1hwc_to_fp32_c1hw	blocks.6.depthwise.weight	F32	48,1,3,3	vision_detector_dense	weight
blaze_face_short_range.tflite	depthwise_conv2d_6/Bias	F16	48	183208	fp16_to_fp32	blocks.6.depthwise.bias	F32	48	vision_detector_dense	weight
blaze_face_short_range.tflite	conv2d_7/Kernel	F16	56,1,1,48	177820	fp16_ohwi_to_fp32_oihw	blocks.6.pointwise.weight	F32	56,48,1,1	vision_detector_dense	weight
blaze_face_short_range.tflite	conv2d_7/Bias	F16	56	177696	fp16_to_fp32	blocks.6.pointwise.bias	F32	56	vision_detector_dense	weight
blaze_face_short_range.tflite	depthwise_conv2d_7/Kernel	F16	1,3,3,56	176632	fp16_1hwc_to_fp32_c1hw	blocks.7.depthwise.weight	F32	56,1,3,3	vision_detector_dense	weight
blaze_face_short_range.tflite	depthwise_conv2d_7/Bias	F16	56	176508	fp16_to_fp32	blocks.7.depthwise.bias	F32	56	vision_detector_dense	weight
blaze_face_short_range.tflite	conv2d_8/Kernel	F16	64,1,1,56	169328	fp16_ohwi_to_fp32_oihw	blocks.7.pointwise.weight	F32	64,56,1,1	vision_detector_dense	weight
blaze_face_short_range.tflite	conv2d_8/Bias	F16	64	169188	fp16_to_fp32	blocks.7.pointwise.bias	F32	64	vision_detector_dense	weight
blaze_face_short_range.tflite	depthwise_conv2d_8/Kernel	F16	1,3,3,64	167980	fp16_1hwc_to_fp32_c1hw	blocks.8.depthwise.weight	F32	64,1,3,3	vision_detector_dense	weight
blaze_face_short_range.tflite	depthwise_conv2d_8/Bias	F16	64	167840	fp16_to_fp32	blocks.8.depthwise.bias	F32	64	vision_detector_dense	weight
blaze_face_short_range.tflite	conv2d_9/Kernel	F16	72,1,1,64	158612	fp16_ohwi_to_fp32_oihw	blocks.8.pointwise.weight	F32	72,64,1,1	vision_detector_dense	weight
blaze_face_short_range.tflite	conv2d_9/Bias	F16	72	158456	fp16_to_fp32	blocks.8.pointwise.bias	F32	72	vision_detector_dense	weight
blaze_face_short_range.tflite	depthwise_conv2d_9/Kernel	F16	1,3,3,72	157104	fp16_1hwc_to_fp32_c1hw	blocks.9.depthwise.weight	F32	72,1,3,3	vision_detector_dense	weight
blaze_face_short_range.tflite	depthwise_conv2d_9/Bias	F16	72	156948	fp16_to_fp32	blocks.9.depthwise.bias	F32	72	vision_detector_dense	weight
blaze_face_short_range.tflite	conv2d_10/Kernel	F16	80,1,1,72	145416	fp16_ohwi_to_fp32_oihw	blocks.9.pointwise.weight	F32	80,72,1,1	vision_detector_dense	weight
