source_file	source_name	source_dtype	source_shape	source_offset	transformation	destination_name	destination_dtype	destination_shape	component	role
dw-ll_ucoco_384.pth	backbone.stem.0.conv.weight	F32	32,3,3,3	2810944	identity_bytes	backbone.stem.0.conv.weight	F32	32,3,3,3	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stem.0.bn.weight	F32	32	2814464	identity_bytes	backbone.stem.0.bn.weight	F32	32	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stem.0.bn.bias	F32	32	140954624	identity_bytes	backbone.stem.0.bn.bias	F32	32	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stem.0.bn.running_mean	F32	32	156573120	identity_bytes	backbone.stem.0.bn.running_mean	F32	32	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stem.0.bn.running_var	F32	32	203804544	identity_bytes	backbone.stem.0.bn.running_var	F32	32	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stem.1.conv.weight	F32	32,32,3,3	273236992	identity_bytes	backbone.stem.1.conv.weight	F32	32,32,3,3	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stem.1.bn.weight	F32	32	276884800	identity_bytes	backbone.stem.1.bn.weight	F32	32	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stem.1.bn.bias	F32	32	297164544	identity_bytes	backbone.stem.1.bn.bias	F32	32	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stem.1.bn.running_mean	F32	32	359081664	identity_bytes	backbone.stem.1.bn.running_mean	F32	32	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stem.1.bn.running_var	F32	32	2814720	identity_bytes	backbone.stem.1.bn.running_var	F32	32	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stem.2.conv.weight	F32	64,32,3,3	19017344	identity_bytes	backbone.stem.2.conv.weight	F32	64,32,3,3	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stem.2.bn.weight	F32	64	33302016	identity_bytes	backbone.stem.2.bn.weight	F32	64	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stem.2.bn.bias	F32	64	134839424	identity_bytes	backbone.stem.2.bn.bias	F32	64	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stem.2.bn.running_mean	F32	64	138643072	identity_bytes	backbone.stem.2.bn.running_mean	F32	64	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stem.2.bn.running_var	F32	64	139303168	identity_bytes	backbone.stem.2.bn.running_var	F32	64	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stage1.0.conv.weight	F32	128,64,3,3	139981568	identity_bytes	backbone.stage1.0.conv.weight	F32	128,64,3,3	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stage1.0.bn.weight	F32	128	140359296	identity_bytes	backbone.stage1.0.bn.weight	F32	128	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stage1.0.bn.bias	F32	128	140954880	identity_bytes	backbone.stage1.0.bn.bias	F32	128	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stage1.0.bn.running_mean	F32	128	141038720	identity_bytes	backbone.stage1.0.bn.running_mean	F32	128	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stage1.0.bn.running_var	F32	128	141646336	identity_bytes	backbone.stage1.0.bn.running_var	F32	128	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stage1.1.main_conv.conv.weight	F32	64,128,1,1	147234048	identity_bytes	backbone.stage1.1.main_conv.conv.weight	F32	64,128,1,1	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stage1.1.main_conv.bn.weight	F32	64	147799680	identity_bytes	backbone.stage1.1.main_conv.bn.weight	F32	64	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stage1.1.main_conv.bn.bias	F32	64	151220480	identity_bytes	backbone.stage1.1.main_conv.bn.bias	F32	64	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stage1.1.main_conv.bn.running_mean	F32	64	151516032	identity_bytes	backbone.stage1.1.main_conv.bn.running_mean	F32	64	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stage1.1.main_conv.bn.running_var	F32	64	153884160	identity_bytes	backbone.stage1.1.main_conv.bn.running_var	F32	64	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stage1.1.short_conv.conv.weight	F32	64,128,1,1	156573376	identity_bytes	backbone.stage1.1.short_conv.conv.weight	F32	64,128,1,1	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stage1.1.short_conv.bn.weight	F32	64	156876864	identity_bytes	backbone.stage1.1.short_conv.bn.weight	F32	64	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stage1.1.short_conv.bn.bias	F32	64	159270592	identity_bytes	backbone.stage1.1.short_conv.bn.bias	F32	64	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stage1.1.short_conv.bn.running_mean	F32	64	161899840	identity_bytes	backbone.stage1.1.short_conv.bn.running_mean	F32	64	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stage1.1.short_conv.bn.running_var	F32	64	161934272	identity_bytes	backbone.stage1.1.short_conv.bn.running_var	F32	64	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stage1.1.final_conv.conv.weight	F32	128,128,1,1	164859840	identity_bytes	backbone.stage1.1.final_conv.conv.weight	F32	128,128,1,1	pose_estimator_2d	weight
dw-ll_ucoco_384.pth	backbone.stage1.1.final_conv.bn.weight	F32	128	184867136	identity_bytes	backbone.stage1.1.final_conv.bn.weight	F32	128	pose_estimator_2d	weight
