source_name	storage_name	source_dtype	source_shape	storage_offset	transformation	destination_name	destination_dtype	destination_shape	component	role
conv_in.bias	936	F32	320	0	identity_bytes	conv_in.bias	F32	320	temporal_conditional_unet_2d	weight
conv_in.weight	935	F32	320,13,3,3	0	identity_bytes	conv_in.weight	F32	320,13,3,3	temporal_conditional_unet_2d	weight
conv_norm_out.bias	932	F32	320	0	identity_bytes	conv_norm_out.bias	F32	320	temporal_conditional_unet_2d	weight
conv_norm_out.weight	931	F32	320	0	identity_bytes	conv_norm_out.weight	F32	320	temporal_conditional_unet_2d	weight
conv_out.bias	934	F32	4	0	identity_bytes	conv_out.bias	F32	4	temporal_conditional_unet_2d	weight
conv_out.weight	933	F32	4,320,3,3	0	identity_bytes	conv_out.weight	F32	4,320,3,3	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.0.norm.bias	942	F32	320	0	identity_bytes	down_blocks.0.attentions.0.norm.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.0.norm.weight	941	F32	320	0	identity_bytes	down_blocks.0.attentions.0.norm.weight	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.0.proj_in.bias	944	F32	320	0	identity_bytes	down_blocks.0.attentions.0.proj_in.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.0.proj_in.weight	943	F32	320,320,1,1	0	identity_bytes	down_blocks.0.attentions.0.proj_in.weight	F32	320,320,1,1	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.0.proj_out.bias	966	F32	320	0	identity_bytes	down_blocks.0.attentions.0.proj_out.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.0.proj_out.weight	965	F32	320,320,1,1	0	identity_bytes	down_blocks.0.attentions.0.proj_out.weight	F32	320,320,1,1	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k.weight	948	F32	320,320	0	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0.bias	951	F32	320	0	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0.weight	950	F32	320,320	0	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q.weight	947	F32	320,320	0	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v.weight	949	F32	320,320	0	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k.weight	955	F32	320,384	0	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k.weight	F32	320,384	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0.bias	958	F32	320	0	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0.weight	957	F32	320,320	0	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q.weight	954	F32	320,320	0	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight	956	F32	320,384	0	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight	F32	320,384	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj.bias	960	F32	2560	0	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj.bias	F32	2560	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj.weight	959	F32	2560,320	0	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj.weight	F32	2560,320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2.bias	962	F32	320	0	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2.weight	961	F32	320,1280	0	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2.weight	F32	320,1280	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.0.transformer_blocks.0.norm1.bias	946	F32	320	0	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.norm1.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.0.transformer_blocks.0.norm1.weight	945	F32	320	0	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.norm1.weight	F32	320	temporal_conditional_unet_2d	weight
