source_name	storage_name	source_dtype	source_shape	storage_offset	transformation	destination_name	destination_dtype	destination_shape	component	role
encoder.positional_embedding	1	F16	1500,384	0	fp16_to_fp32	audio_encoder.embed_positions.weight	F32	1500,384	audio_encoder_transformer	weight
encoder.conv1.weight	101	F16	384,80,3	0	fp16_to_fp32	audio_encoder.conv1.weight	F32	384,80,3	audio_encoder_transformer	weight
encoder.conv1.bias	102	F16	384	0	fp16_to_fp32	audio_encoder.conv1.bias	F32	384	audio_encoder_transformer	weight
encoder.conv2.weight	103	F16	384,384,3	0	fp16_to_fp32	audio_encoder.conv2.weight	F32	384,384,3	audio_encoder_transformer	weight
encoder.conv2.bias	104	F16	384	0	fp16_to_fp32	audio_encoder.conv2.bias	F32	384	audio_encoder_transformer	weight
encoder.blocks.0.mlp_ln.weight	105	F16	384	0	fp16_to_fp32	audio_encoder.layers.0.final_layer_norm.weight	F32	384	audio_encoder_transformer	weight
encoder.blocks.0.mlp_ln.bias	106	F16	384	0	fp16_to_fp32	audio_encoder.layers.0.final_layer_norm.bias	F32	384	audio_encoder_transformer	weight
encoder.blocks.0.mlp.0.weight	107	F16	1536,384	0	fp16_transpose_2d_to_fp32	audio_encoder.layers.0.fc1.weight	F32	1536,384	audio_encoder_transformer	weight
encoder.blocks.0.mlp.0.bias	108	F16	1536	0	fp16_to_fp32	audio_encoder.layers.0.fc1.bias	F32	1536	audio_encoder_transformer	weight
encoder.blocks.0.mlp.2.weight	109	F16	384,1536	0	fp16_transpose_2d_to_fp32	audio_encoder.layers.0.fc2.weight	F32	384,1536	audio_encoder_transformer	weight
encoder.blocks.0.mlp.2.bias	110	F16	384	0	fp16_to_fp32	audio_encoder.layers.0.fc2.bias	F32	384	audio_encoder_transformer	weight
encoder.blocks.0.attn_ln.weight	111	F16	384	0	fp16_to_fp32	audio_encoder.layers.0.self_attn_layer_norm.weight	F32	384	audio_encoder_transformer	weight
encoder.blocks.0.attn_ln.bias	112	F16	384	0	fp16_to_fp32	audio_encoder.layers.0.self_attn_layer_norm.bias	F32	384	audio_encoder_transformer	weight
encoder.blocks.0.attn.query.weight	113	F16	384,384	0	fp16_transpose_2d_to_fp32	audio_encoder.layers.0.self_attn.q_proj.weight	F32	384,384	audio_encoder_transformer	weight
encoder.blocks.0.attn.query.bias	114	F16	384	0	fp16_to_fp32	audio_encoder.layers.0.self_attn.q_proj.bias	F32	384	audio_encoder_transformer	weight
encoder.blocks.0.attn.key.weight	115	F16	384,384	0	fp16_transpose_2d_to_fp32	audio_encoder.layers.0.self_attn.k_proj.weight	F32	384,384	audio_encoder_transformer	weight
encoder.blocks.0.attn.value.weight	116	F16	384,384	0	fp16_transpose_2d_to_fp32	audio_encoder.layers.0.self_attn.v_proj.weight	F32	384,384	audio_encoder_transformer	weight
encoder.blocks.0.attn.value.bias	117	F16	384	0	fp16_to_fp32	audio_encoder.layers.0.self_attn.v_proj.bias	F32	384	audio_encoder_transformer	weight
encoder.blocks.0.attn.out.weight	118	F16	384,384	0	fp16_transpose_2d_to_fp32	audio_encoder.layers.0.self_attn.out_proj.weight	F32	384,384	audio_encoder_transformer	weight
encoder.blocks.0.attn.out.bias	119	F16	384	0	fp16_to_fp32	audio_encoder.layers.0.self_attn.out_proj.bias	F32	384	audio_encoder_transformer	weight
encoder.blocks.1.mlp_ln.weight	120	F16	384	0	fp16_to_fp32	audio_encoder.layers.1.final_layer_norm.weight	F32	384	audio_encoder_transformer	weight
encoder.blocks.1.mlp_ln.bias	121	F16	384	0	fp16_to_fp32	audio_encoder.layers.1.final_layer_norm.bias	F32	384	audio_encoder_transformer	weight
encoder.blocks.1.mlp.0.weight	122	F16	1536,384	0	fp16_transpose_2d_to_fp32	audio_encoder.layers.1.fc1.weight	F32	1536,384	audio_encoder_transformer	weight
encoder.blocks.1.mlp.0.bias	123	F16	1536	0	fp16_to_fp32	audio_encoder.layers.1.fc1.bias	F32	1536	audio_encoder_transformer	weight
encoder.blocks.1.mlp.2.weight	124	F16	384,1536	0	fp16_transpose_2d_to_fp32	audio_encoder.layers.1.fc2.weight	F32	384,1536	audio_encoder_transformer	weight
encoder.blocks.1.mlp.2.bias	125	F16	384	0	fp16_to_fp32	audio_encoder.layers.1.fc2.bias	F32	384	audio_encoder_transformer	weight
encoder.blocks.1.attn_ln.weight	126	F16	384	0	fp16_to_fp32	audio_encoder.layers.1.self_attn_layer_norm.weight	F32	384	audio_encoder_transformer	weight
encoder.blocks.1.attn_ln.bias	127	F16	384	0	fp16_to_fp32	audio_encoder.layers.1.self_attn_layer_norm.bias	F32	384	audio_encoder_transformer	weight
encoder.blocks.1.attn.query.weight	128	F16	384,384	0	fp16_transpose_2d_to_fp32	audio_encoder.layers.1.self_attn.q_proj.weight	F32	384,384	audio_encoder_transformer	weight
encoder.blocks.1.attn.query.bias	129	F16	384	0	fp16_to_fp32	audio_encoder.layers.1.self_attn.q_proj.bias	F32	384	audio_encoder_transformer	weight
encoder.blocks.1.attn.key.weight	130	F16	384,384	0	fp16_transpose_2d_to_fp32	audio_encoder.layers.1.self_attn.k_proj.weight	F32	384,384	audio_encoder_transformer	weight
encoder.blocks.1.attn.value.weight	131	F16	384,384	0	fp16_transpose_2d_to_fp32	audio_encoder.layers.1.self_attn.v_proj.weight	F32	384,384	audio_encoder_transformer	weight
encoder.blocks.1.attn.value.bias	132	F16	384	0	fp16_to_fp32	audio_encoder.layers.1.self_attn.v_proj.bias	F32	384	audio_encoder_transformer	weight
encoder.blocks.1.attn.out.weight	133	F16	384,384	0	fp16_transpose_2d_to_fp32	audio_encoder.layers.1.self_attn.out_proj.weight	F32	384,384	audio_encoder_transformer	weight
encoder.blocks.1.attn.out.bias	134	F16	384	0	fp16_to_fp32	audio_encoder.layers.1.self_attn.out_proj.bias	F32	384	audio_encoder_transformer	weight
encoder.blocks.2.mlp_ln.weight	135	F16	384	0	fp16_to_fp32	audio_encoder.layers.2.final_layer_norm.weight	F32	384	audio_encoder_transformer	weight
encoder.blocks.2.mlp_ln.bias	136	F16	384	0	fp16_to_fp32	audio_encoder.layers.2.final_layer_norm.bias	F32	384	audio_encoder_transformer	weight
encoder.blocks.2.mlp.0.weight	137	F16	1536,384	0	fp16_transpose_2d_to_fp32	audio_encoder.layers.2.fc1.weight	F32	1536,384	audio_encoder_transformer	weight
encoder.blocks.2.mlp.0.bias	138	F16	1536	0	fp16_to_fp32	audio_encoder.layers.2.fc1.bias	F32	1536	audio_encoder_transformer	weight
encoder.blocks.2.mlp.2.weight	139	F16	384,1536	0	fp16_transpose_2d_to_fp32	audio_encoder.layers.2.fc2.weight	F32	384,1536	audio_encoder_transformer	weight
encoder.blocks.2.mlp.2.bias	140	F16	384	0	fp16_to_fp32	audio_encoder.layers.2.fc2.bias	F32	384	audio_encoder_transformer	weight
encoder.blocks.2.attn_ln.weight	141	F16	384	0	fp16_to_fp32	audio_encoder.layers.2.self_attn_layer_norm.weight	F32	384	audio_encoder_transformer	weight
encoder.blocks.2.attn_ln.bias	142	F16	384	0	fp16_to_fp32	audio_encoder.layers.2.self_attn_layer_norm.bias	F32	384	audio_encoder_transformer	weight
encoder.blocks.2.attn.query.weight	143	F16	384,384	0	fp16_transpose_2d_to_fp32	audio_encoder.layers.2.self_attn.q_proj.weight	F32	384,384	audio_encoder_transformer	weight
encoder.blocks.2.attn.query.bias	144	F16	384	0	fp16_to_fp32	audio_encoder.layers.2.self_attn.q_proj.bias	F32	384	audio_encoder_transformer	weight
encoder.blocks.2.attn.key.weight	145	F16	384,384	0	fp16_transpose_2d_to_fp32	audio_encoder.layers.2.self_attn.k_proj.weight	F32	384,384	audio_encoder_transformer	weight
encoder.blocks.2.attn.value.weight	146	F16	384,384	0	fp16_transpose_2d_to_fp32	audio_encoder.layers.2.self_attn.v_proj.weight	F32	384,384	audio_encoder_transformer	weight
encoder.blocks.2.attn.value.bias	147	F16	384	0	fp16_to_fp32	audio_encoder.layers.2.self_attn.v_proj.bias	F32	384	audio_encoder_transformer	weight
encoder.blocks.2.attn.out.weight	148	F16	384,384	0	fp16_transpose_2d_to_fp32	audio_encoder.layers.2.self_attn.out_proj.weight	F32	384,384	audio_encoder_transformer	weight
encoder.blocks.2.attn.out.bias	149	F16	384	0	fp16_to_fp32	audio_encoder.layers.2.self_attn.out_proj.bias	F32	384	audio_encoder_transformer	weight
encoder.blocks.3.mlp_ln.weight	150	F16	384	0	fp16_to_fp32	audio_encoder.layers.3.final_layer_norm.weight	F32	384	audio_encoder_transformer	weight
encoder.blocks.3.mlp_ln.bias	151	F16	384	0	fp16_to_fp32	audio_encoder.layers.3.final_layer_norm.bias	F32	384	audio_encoder_transformer	weight
encoder.blocks.3.mlp.0.weight	152	F16	1536,384	0	fp16_transpose_2d_to_fp32	audio_encoder.layers.3.fc1.weight	F32	1536,384	audio_encoder_transformer	weight
encoder.blocks.3.mlp.0.bias	153	F16	1536	0	fp16_to_fp32	audio_encoder.layers.3.fc1.bias	F32	1536	audio_encoder_transformer	weight
encoder.blocks.3.mlp.2.weight	154	F16	384,1536	0	fp16_transpose_2d_to_fp32	audio_encoder.layers.3.fc2.weight	F32	384,1536	audio_encoder_transformer	weight
encoder.blocks.3.mlp.2.bias	155	F16	384	0	fp16_to_fp32	audio_encoder.layers.3.fc2.bias	F32	384	audio_encoder_transformer	weight
encoder.blocks.3.attn_ln.weight	156	F16	384	0	fp16_to_fp32	audio_encoder.layers.3.self_attn_layer_norm.weight	F32	384	audio_encoder_transformer	weight
