source_name	source_dtype	source_shape	transformation	destination_name	destination_dtype	destination_shape	component	role
model.diffusion_model.adaln_single.emb.timestep_embedder.linear_1.bias	BF16	[2048]	identity_bytes	denoiser.adaln_single.emb.timestep_embedder.linear_1.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.adaln_single.emb.timestep_embedder.linear_1.weight	BF16	[2048,256]	identity_bytes	denoiser.adaln_single.emb.timestep_embedder.linear_1.weight	BF16	[2048,256]	denoiser	weight
model.diffusion_model.adaln_single.emb.timestep_embedder.linear_2.bias	BF16	[2048]	identity_bytes	denoiser.adaln_single.emb.timestep_embedder.linear_2.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.adaln_single.emb.timestep_embedder.linear_2.weight	BF16	[2048,2048]	identity_bytes	denoiser.adaln_single.emb.timestep_embedder.linear_2.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.adaln_single.linear.bias	BF16	[12288]	identity_bytes	denoiser.adaln_single.linear.bias	BF16	[12288]	denoiser	weight
model.diffusion_model.adaln_single.linear.weight	BF16	[12288,2048]	identity_bytes	denoiser.adaln_single.linear.weight	BF16	[12288,2048]	denoiser	weight
model.diffusion_model.caption_projection.linear_1.bias	BF16	[2048]	identity_bytes	denoiser.caption_projection.linear_1.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.caption_projection.linear_1.weight	BF16	[2048,4096]	identity_bytes	denoiser.caption_projection.linear_1.weight	BF16	[2048,4096]	denoiser	weight
model.diffusion_model.caption_projection.linear_2.bias	BF16	[2048]	identity_bytes	denoiser.caption_projection.linear_2.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.caption_projection.linear_2.weight	BF16	[2048,2048]	identity_bytes	denoiser.caption_projection.linear_2.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.patchify_proj.bias	BF16	[2048]	identity_bytes	denoiser.patchify_proj.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.patchify_proj.weight	BF16	[2048,128]	identity_bytes	denoiser.patchify_proj.weight	BF16	[2048,128]	denoiser	weight
model.diffusion_model.proj_out.bias	BF16	[128]	identity_bytes	denoiser.proj_out.bias	BF16	[128]	denoiser	weight
model.diffusion_model.proj_out.weight	BF16	[128,2048]	identity_bytes	denoiser.proj_out.weight	BF16	[128,2048]	denoiser	weight
model.diffusion_model.scale_shift_table	BF16	[2,2048]	identity_bytes	denoiser.scale_shift_table	BF16	[2,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.0.attn1.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.0.attn1.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.0.attn1.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.0.attn1.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.0.attn1.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.0.attn1.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.0.attn1.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.0.attn1.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.0.attn1.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.0.attn1.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.0.attn1.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.0.attn1.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.0.attn1.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.0.attn1.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.0.attn1.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.0.attn1.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.0.attn1.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.0.attn1.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.0.attn1.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.0.attn1.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.0.attn2.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.0.attn2.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.0.attn2.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.0.attn2.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.0.attn2.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.0.attn2.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.0.attn2.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.0.attn2.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.0.attn2.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.0.attn2.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.0.attn2.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.0.attn2.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.0.attn2.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.0.attn2.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.0.attn2.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.0.attn2.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.0.attn2.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.0.attn2.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.0.attn2.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.0.attn2.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.0.ff.net.0.proj.bias	BF16	[8192]	identity_bytes	denoiser.transformer_blocks.0.ff.net.0.proj.bias	BF16	[8192]	denoiser	weight
model.diffusion_model.transformer_blocks.0.ff.net.0.proj.weight	BF16	[8192,2048]	identity_bytes	denoiser.transformer_blocks.0.ff.net.0.proj.weight	BF16	[8192,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.0.ff.net.2.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.0.ff.net.2.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.0.ff.net.2.weight	BF16	[2048,8192]	identity_bytes	denoiser.transformer_blocks.0.ff.net.2.weight	BF16	[2048,8192]	denoiser	weight
model.diffusion_model.transformer_blocks.0.scale_shift_table	BF16	[6,2048]	identity_bytes	denoiser.transformer_blocks.0.scale_shift_table	BF16	[6,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.1.attn1.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.1.attn1.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.1.attn1.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.1.attn1.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.1.attn1.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.1.attn1.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.1.attn1.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.1.attn1.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.1.attn1.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.1.attn1.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.1.attn1.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.1.attn1.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
