source_file	source_name	source_dtype	source_shape	transformation	destination_name	destination_dtype	destination_shape	component	role
vae	decoder.block_in.resnets.0.conv1.conv.bias	BF16	768	identity_bytes	component.vae.decoder.block_in.resnets.0.conv1.conv.bias	BF16	768	vae.decoder	weight
vae	decoder.block_in.resnets.0.conv1.conv.weight	BF16	768,768,3,3,3	identity_bytes	component.vae.decoder.block_in.resnets.0.conv1.conv.weight	BF16	768,768,3,3,3	vae.decoder	weight
vae	decoder.block_in.resnets.0.conv2.conv.bias	BF16	768	identity_bytes	component.vae.decoder.block_in.resnets.0.conv2.conv.bias	BF16	768	vae.decoder	weight
vae	decoder.block_in.resnets.0.conv2.conv.weight	BF16	768,768,3,3,3	identity_bytes	component.vae.decoder.block_in.resnets.0.conv2.conv.weight	BF16	768,768,3,3,3	vae.decoder	weight
vae	decoder.block_in.resnets.0.norm1.norm_layer.bias	BF16	768	identity_bytes	component.vae.decoder.block_in.resnets.0.norm1.norm_layer.bias	BF16	768	vae.decoder	weight
vae	decoder.block_in.resnets.0.norm1.norm_layer.weight	BF16	768	identity_bytes	component.vae.decoder.block_in.resnets.0.norm1.norm_layer.weight	BF16	768	vae.decoder	weight
vae	decoder.block_in.resnets.0.norm2.norm_layer.bias	BF16	768	identity_bytes	component.vae.decoder.block_in.resnets.0.norm2.norm_layer.bias	BF16	768	vae.decoder	weight
vae	decoder.block_in.resnets.0.norm2.norm_layer.weight	BF16	768	identity_bytes	component.vae.decoder.block_in.resnets.0.norm2.norm_layer.weight	BF16	768	vae.decoder	weight
vae	decoder.block_in.resnets.1.conv1.conv.bias	BF16	768	identity_bytes	component.vae.decoder.block_in.resnets.1.conv1.conv.bias	BF16	768	vae.decoder	weight
vae	decoder.block_in.resnets.1.conv1.conv.weight	BF16	768,768,3,3,3	identity_bytes	component.vae.decoder.block_in.resnets.1.conv1.conv.weight	BF16	768,768,3,3,3	vae.decoder	weight
vae	decoder.block_in.resnets.1.conv2.conv.bias	BF16	768	identity_bytes	component.vae.decoder.block_in.resnets.1.conv2.conv.bias	BF16	768	vae.decoder	weight
vae	decoder.block_in.resnets.1.conv2.conv.weight	BF16	768,768,3,3,3	identity_bytes	component.vae.decoder.block_in.resnets.1.conv2.conv.weight	BF16	768,768,3,3,3	vae.decoder	weight
vae	decoder.block_in.resnets.1.norm1.norm_layer.bias	BF16	768	identity_bytes	component.vae.decoder.block_in.resnets.1.norm1.norm_layer.bias	BF16	768	vae.decoder	weight
vae	decoder.block_in.resnets.1.norm1.norm_layer.weight	BF16	768	identity_bytes	component.vae.decoder.block_in.resnets.1.norm1.norm_layer.weight	BF16	768	vae.decoder	weight
vae	decoder.block_in.resnets.1.norm2.norm_layer.bias	BF16	768	identity_bytes	component.vae.decoder.block_in.resnets.1.norm2.norm_layer.bias	BF16	768	vae.decoder	weight
vae	decoder.block_in.resnets.1.norm2.norm_layer.weight	BF16	768	identity_bytes	component.vae.decoder.block_in.resnets.1.norm2.norm_layer.weight	BF16	768	vae.decoder	weight
vae	decoder.block_in.resnets.2.conv1.conv.bias	BF16	768	identity_bytes	component.vae.decoder.block_in.resnets.2.conv1.conv.bias	BF16	768	vae.decoder	weight
vae	decoder.block_in.resnets.2.conv1.conv.weight	BF16	768,768,3,3,3	identity_bytes	component.vae.decoder.block_in.resnets.2.conv1.conv.weight	BF16	768,768,3,3,3	vae.decoder	weight
vae	decoder.block_in.resnets.2.conv2.conv.bias	BF16	768	identity_bytes	component.vae.decoder.block_in.resnets.2.conv2.conv.bias	BF16	768	vae.decoder	weight
vae	decoder.block_in.resnets.2.conv2.conv.weight	BF16	768,768,3,3,3	identity_bytes	component.vae.decoder.block_in.resnets.2.conv2.conv.weight	BF16	768,768,3,3,3	vae.decoder	weight
vae	decoder.block_in.resnets.2.norm1.norm_layer.bias	BF16	768	identity_bytes	component.vae.decoder.block_in.resnets.2.norm1.norm_layer.bias	BF16	768	vae.decoder	weight
vae	decoder.block_in.resnets.2.norm1.norm_layer.weight	BF16	768	identity_bytes	component.vae.decoder.block_in.resnets.2.norm1.norm_layer.weight	BF16	768	vae.decoder	weight
vae	decoder.block_in.resnets.2.norm2.norm_layer.bias	BF16	768	identity_bytes	component.vae.decoder.block_in.resnets.2.norm2.norm_layer.bias	BF16	768	vae.decoder	weight
vae	decoder.block_in.resnets.2.norm2.norm_layer.weight	BF16	768	identity_bytes	component.vae.decoder.block_in.resnets.2.norm2.norm_layer.weight	BF16	768	vae.decoder	weight
vae	decoder.block_out.resnets.0.conv1.conv.bias	BF16	128	identity_bytes	component.vae.decoder.block_out.resnets.0.conv1.conv.bias	BF16	128	vae.decoder	weight
vae	decoder.block_out.resnets.0.conv1.conv.weight	BF16	128,128,3,3,3	identity_bytes	component.vae.decoder.block_out.resnets.0.conv1.conv.weight	BF16	128,128,3,3,3	vae.decoder	weight
vae	decoder.block_out.resnets.0.conv2.conv.bias	BF16	128	identity_bytes	component.vae.decoder.block_out.resnets.0.conv2.conv.bias	BF16	128	vae.decoder	weight
vae	decoder.block_out.resnets.0.conv2.conv.weight	BF16	128,128,3,3,3	identity_bytes	component.vae.decoder.block_out.resnets.0.conv2.conv.weight	BF16	128,128,3,3,3	vae.decoder	weight
vae	decoder.block_out.resnets.0.norm1.norm_layer.bias	BF16	128	identity_bytes	component.vae.decoder.block_out.resnets.0.norm1.norm_layer.bias	BF16	128	vae.decoder	weight
vae	decoder.block_out.resnets.0.norm1.norm_layer.weight	BF16	128	identity_bytes	component.vae.decoder.block_out.resnets.0.norm1.norm_layer.weight	BF16	128	vae.decoder	weight
vae	decoder.block_out.resnets.0.norm2.norm_layer.bias	BF16	128	identity_bytes	component.vae.decoder.block_out.resnets.0.norm2.norm_layer.bias	BF16	128	vae.decoder	weight
vae	decoder.block_out.resnets.0.norm2.norm_layer.weight	BF16	128	identity_bytes	component.vae.decoder.block_out.resnets.0.norm2.norm_layer.weight	BF16	128	vae.decoder	weight
vae	decoder.block_out.resnets.1.conv1.conv.bias	BF16	128	identity_bytes	component.vae.decoder.block_out.resnets.1.conv1.conv.bias	BF16	128	vae.decoder	weight
vae	decoder.block_out.resnets.1.conv1.conv.weight	BF16	128,128,3,3,3	identity_bytes	component.vae.decoder.block_out.resnets.1.conv1.conv.weight	BF16	128,128,3,3,3	vae.decoder	weight
vae	decoder.block_out.resnets.1.conv2.conv.bias	BF16	128	identity_bytes	component.vae.decoder.block_out.resnets.1.conv2.conv.bias	BF16	128	vae.decoder	weight
vae	decoder.block_out.resnets.1.conv2.conv.weight	BF16	128,128,3,3,3	identity_bytes	component.vae.decoder.block_out.resnets.1.conv2.conv.weight	BF16	128,128,3,3,3	vae.decoder	weight
vae	decoder.block_out.resnets.1.norm1.norm_layer.bias	BF16	128	identity_bytes	component.vae.decoder.block_out.resnets.1.norm1.norm_layer.bias	BF16	128	vae.decoder	weight
vae	decoder.block_out.resnets.1.norm1.norm_layer.weight	BF16	128	identity_bytes	component.vae.decoder.block_out.resnets.1.norm1.norm_layer.weight	BF16	128	vae.decoder	weight
