source_file	source_name	source_dtype	source_shape	source_offset	transformation	destination_name	destination_dtype	destination_shape	component	role
unet.pth	conv_in.weight	F32	320,8,3,3	150720	identity_bytes	conv_in.weight	F32	320,8,3,3	conditional_unet_2d	weight
unet.pth	conv_in.bias	F32	320	243008	identity_bytes	conv_in.bias	F32	320	conditional_unet_2d	weight
unet.pth	time_embedding.linear_1.weight	F32	1280,320	317157056	identity_bytes	time_embedding.linear_1.weight	F32	1280,320	conditional_unet_2d	weight
unet.pth	time_embedding.linear_1.bias	F32	1280	1623139904	identity_bytes	time_embedding.linear_1.bias	F32	1280	conditional_unet_2d	weight
unet.pth	time_embedding.linear_2.weight	F32	1280,1280	2485728192	identity_bytes	time_embedding.linear_2.weight	F32	1280,1280	conditional_unet_2d	weight
unet.pth	time_embedding.linear_2.bias	F32	1280	2823805760	identity_bytes	time_embedding.linear_2.bias	F32	1280	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.0.norm.weight	F32	320	2935455168	identity_bytes	down_blocks.0.attentions.0.norm.weight	F32	320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.0.norm.bias	F32	320	3373445184	identity_bytes	down_blocks.0.attentions.0.norm.bias	F32	320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.0.proj_in.weight	F32	320,320,1,1	3386153152	identity_bytes	down_blocks.0.attentions.0.proj_in.weight	F32	320,320,1,1	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.0.proj_in.bias	F32	320	3394768960	identity_bytes	down_blocks.0.attentions.0.proj_in.bias	F32	320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.0.transformer_blocks.0.norm1.weight	F32	320	244416	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.norm1.weight	F32	320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.0.transformer_blocks.0.norm1.bias	F32	320	23217984	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.norm1.bias	F32	320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q.weight	F32	320,320	31425472	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q.weight	F32	320,320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k.weight	F32	320,320	55132480	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k.weight	F32	320,320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v.weight	F32	320,320	67846848	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v.weight	F32	320,320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0.weight	F32	320,320	101860416	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0.weight	F32	320,320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0.bias	F32	320	138341824	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0.bias	F32	320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.0.transformer_blocks.0.norm2.weight	F32	320	171138112	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.norm2.weight	F32	320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.0.transformer_blocks.0.norm2.bias	F32	320	260331200	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.norm2.bias	F32	320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q.weight	F32	320,320	286579008	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q.weight	F32	320,320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k.weight	F32	320,384	318795584	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k.weight	F32	320,384	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight	F32	320,384	404551872	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight	F32	320,384	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0.weight	F32	320,320	503379520	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0.weight	F32	320,320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0.bias	F32	320	628344768	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0.bias	F32	320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.0.transformer_blocks.0.norm3.weight	F32	320	752901696	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.norm3.weight	F32	320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.0.transformer_blocks.0.norm3.bias	F32	320	877458624	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.norm3.bias	F32	320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj.weight	F32	2560,320	1061008192	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj.weight	F32	2560,320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj.bias	F32	2560	1260935360	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj.bias	F32	2560	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2.weight	F32	320,1280	1451047488	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2.weight	F32	320,1280	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2.bias	F32	320	1590343616	identity_bytes	down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2.bias	F32	320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.0.proj_out.weight	F32	320,320,1,1	1623145152	identity_bytes	down_blocks.0.attentions.0.proj_out.weight	F32	320,320,1,1	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.0.proj_out.bias	F32	320	1640626240	identity_bytes	down_blocks.0.attentions.0.proj_out.bias	F32	320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.1.norm.weight	F32	320	1732445888	identity_bytes	down_blocks.0.attentions.1.norm.weight	F32	320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.1.norm.bias	F32	320	1765242176	identity_bytes	down_blocks.0.attentions.1.norm.bias	F32	320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.1.proj_in.weight	F32	320,320,1,1	1854435264	identity_bytes	down_blocks.0.attentions.1.proj_in.weight	F32	320,320,1,1	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.1.proj_in.bias	F32	320	1881091392	identity_bytes	down_blocks.0.attentions.1.proj_in.bias	F32	320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.1.transformer_blocks.0.norm1.weight	F32	320	1911261120	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.norm1.weight	F32	320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.1.transformer_blocks.0.norm1.bias	F32	320	1996542528	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.norm1.bias	F32	320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_q.weight	F32	320,320	2193183936	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_q.weight	F32	320,320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_k.weight	F32	320,320	2377141824	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_k.weight	F32	320,320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_v.weight	F32	320,320	2492281920	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_v.weight	F32	320,320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0.weight	F32	320,320	2622149568	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0.weight	F32	320,320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0.bias	F32	320	2630765376	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0.bias	F32	320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.1.transformer_blocks.0.norm2.weight	F32	320	2654064064	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.norm2.weight	F32	320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.1.transformer_blocks.0.norm2.bias	F32	320	2660635712	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.norm2.bias	F32	320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_q.weight	F32	320,320	2669168320	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_q.weight	F32	320,320	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k.weight	F32	320,384	2690914368	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k.weight	F32	320,384	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight	F32	320,384	2699612096	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight	F32	320,384	conditional_unet_2d	weight
unet.pth	down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out.0.weight	F32	320,320	2718485824	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out.0.weight	F32	320,320	conditional_unet_2d	weight
