source_file	source_name	source_dtype	source_shape	source_offset	transformation	destination_name	destination_dtype	destination_shape	component	role
s3fd-619a316812.pth	conv1_1.weight	F32	64,3,3,3	3054081	identity_bytes	conv1_1.weight	F32	64,3,3,3	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv1_1.bias	F32	64	3061001	identity_bytes	conv1_1.bias	F32	64	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv1_2.weight	F32	64,64,3,3	3061265	identity_bytes	conv1_2.weight	F32	64,64,3,3	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv1_2.bias	F32	64	3208729	identity_bytes	conv1_2.bias	F32	64	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv2_1.weight	F32	128,64,3,3	5569337	identity_bytes	conv2_1.weight	F32	128,64,3,3	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv2_1.bias	F32	128	5568817	identity_bytes	conv2_1.bias	F32	128	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv2_2.weight	F32	128,128,3,3	5864257	identity_bytes	conv2_2.weight	F32	128,128,3,3	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv2_2.bias	F32	128	3208993	identity_bytes	conv2_2.bias	F32	128	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv3_1.weight	F32	256,128,3,3	6454089	identity_bytes	conv3_1.weight	F32	256,128,3,3	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv3_1.bias	F32	256	3053049	identity_bytes	conv3_1.bias	F32	256	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv3_2.weight	F32	256,256,3,3	3209513	identity_bytes	conv3_2.weight	F32	256,256,3,3	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv3_2.bias	F32	256	7633745	identity_bytes	conv3_2.bias	F32	256	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv3_3.weight	F32	256,256,3,3	6273	identity_bytes	conv3_3.weight	F32	256,256,3,3	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv3_3.bias	F32	256	7634777	identity_bytes	conv3_3.bias	F32	256	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv4_1.weight	F32	512,256,3,3	7635809	identity_bytes	conv4_1.weight	F32	512,256,3,3	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv4_1.bias	F32	512	12354409	identity_bytes	conv4_1.bias	F32	512	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv4_2.weight	F32	512,512,3,3	12356465	identity_bytes	conv4_2.weight	F32	512,512,3,3	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv4_2.bias	F32	512	21793657	identity_bytes	conv4_2.bias	F32	512	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv4_3.weight	F32	512,512,3,3	21795713	identity_bytes	conv4_3.weight	F32	512,512,3,3	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv4_3.bias	F32	512	31232905	identity_bytes	conv4_3.bias	F32	512	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv5_1.weight	F32	512,512,3,3	31234961	identity_bytes	conv5_1.weight	F32	512,512,3,3	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv5_1.bias	F32	512	40672153	identity_bytes	conv5_1.bias	F32	512	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv5_2.weight	F32	512,512,3,3	40674209	identity_bytes	conv5_2.weight	F32	512,512,3,3	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv5_2.bias	F32	512	50111401	identity_bytes	conv5_2.bias	F32	512	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv5_3.weight	F32	512,512,3,3	50113457	identity_bytes	conv5_3.weight	F32	512,512,3,3	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv5_3.bias	F32	512	59550649	identity_bytes	conv5_3.bias	F32	512	vision_detector_multiscale	weight
s3fd-619a316812.pth	fc6.weight	F32	1024,512,3,3	59552705	identity_bytes	fc6.weight	F32	1024,512,3,3	vision_detector_multiscale	weight
s3fd-619a316812.pth	fc6.bias	F32	1024	78427081	identity_bytes	fc6.bias	F32	1024	vision_detector_multiscale	weight
s3fd-619a316812.pth	fc7.weight	F32	1024,1024,1,1	78431185	identity_bytes	fc7.weight	F32	1024,1024,1,1	vision_detector_multiscale	weight
s3fd-619a316812.pth	fc7.bias	F32	1024	82625497	identity_bytes	fc7.bias	F32	1024	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv6_1.weight	F32	256,1024,1,1	82629601	identity_bytes	conv6_1.weight	F32	256,1024,1,1	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv6_1.bias	F32	256	83678185	identity_bytes	conv6_1.bias	F32	256	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv6_2.weight	F32	512,256,3,3	83679217	identity_bytes	conv6_2.weight	F32	512,256,3,3	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv6_2.bias	F32	512	88398849	identity_bytes	conv6_2.bias	F32	512	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv7_1.weight	F32	128,512,1,1	88400905	identity_bytes	conv7_1.weight	F32	128,512,1,1	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv7_1.bias	F32	128	88663057	identity_bytes	conv7_1.bias	F32	128	vision_detector_multiscale	weight
s3fd-619a316812.pth	conv7_2.weight	F32	256,128,3,3	88663577	identity_bytes	conv7_2.weight	F32	256,128,3,3	vision_detector_multiscale	weight
