source_file	source_name	source_dtype	source_shape	source_offset	transformation	destination_name	destination_dtype	destination_shape	component	role
diffusion_pytorch_model.bin	encoder.conv_in.weight	F32	128,3,3,3	45184	identity_bytes	autoencoder_kl.encoder.conv_in.weight	F32	128,3,3,3	autoencoder_kl	weight
diffusion_pytorch_model.bin	encoder.conv_in.bias	F32	128	59072	identity_bytes	autoencoder_kl.encoder.conv_in.bias	F32	128	autoencoder_kl	weight
diffusion_pytorch_model.bin	encoder.down_blocks.0.resnets.0.norm1.weight	F32	128	165039104	identity_bytes	autoencoder_kl.encoder.down_blocks.0.resnets.0.norm1.weight	F32	128	autoencoder_kl	weight
diffusion_pytorch_model.bin	encoder.down_blocks.0.resnets.0.norm1.bias	F32	128	213082752	identity_bytes	autoencoder_kl.encoder.down_blocks.0.resnets.0.norm1.bias	F32	128	autoencoder_kl	weight
diffusion_pytorch_model.bin	encoder.down_blocks.0.resnets.0.conv1.weight	F32	128,128,3,3	220169664	identity_bytes	autoencoder_kl.encoder.down_blocks.0.resnets.0.conv1.weight	F32	128,128,3,3	autoencoder_kl	weight
diffusion_pytorch_model.bin	encoder.down_blocks.0.resnets.0.conv1.bias	F32	128	235453184	identity_bytes	autoencoder_kl.encoder.down_blocks.0.resnets.0.conv1.bias	F32	128	autoencoder_kl	weight
diffusion_pytorch_model.bin	encoder.down_blocks.0.resnets.0.norm2.weight	F32	128	263780928	identity_bytes	autoencoder_kl.encoder.down_blocks.0.resnets.0.norm2.weight	F32	128	autoencoder_kl	weight
diffusion_pytorch_model.bin	encoder.down_blocks.0.resnets.0.norm2.bias	F32	128	282673536	identity_bytes	autoencoder_kl.encoder.down_blocks.0.resnets.0.norm2.bias	F32	128	autoencoder_kl	weight
diffusion_pytorch_model.bin	encoder.down_blocks.0.resnets.0.conv2.weight	F32	128,128,3,3	302612672	identity_bytes	autoencoder_kl.encoder.down_blocks.0.resnets.0.conv2.weight	F32	128,128,3,3	autoencoder_kl	weight
diffusion_pytorch_model.bin	encoder.down_blocks.0.resnets.0.conv2.bias	F32	128	315799040	identity_bytes	autoencoder_kl.encoder.down_blocks.0.resnets.0.conv2.bias	F32	128	autoencoder_kl	weight
diffusion_pytorch_model.bin	encoder.down_blocks.0.resnets.1.norm1.weight	F32	128	59712	identity_bytes	autoencoder_kl.encoder.down_blocks.0.resnets.1.norm1.weight	F32	128	autoencoder_kl	weight
diffusion_pytorch_model.bin	encoder.down_blocks.0.resnets.1.norm1.bias	F32	128	9732288	identity_bytes	autoencoder_kl.encoder.down_blocks.0.resnets.1.norm1.bias	F32	128	autoencoder_kl	weight
diffusion_pytorch_model.bin	encoder.down_blocks.0.resnets.1.conv1.weight	F32	128,128,3,3	38060096	identity_bytes	autoencoder_kl.encoder.down_blocks.0.resnets.1.conv1.weight	F32	128,128,3,3	autoencoder_kl	weight
diffusion_pytorch_model.bin	encoder.down_blocks.0.resnets.1.conv1.bias	F32	128	57542080	identity_bytes	autoencoder_kl.encoder.down_blocks.0.resnets.1.conv1.bias	F32	128	autoencoder_kl	weight
diffusion_pytorch_model.bin	encoder.down_blocks.0.resnets.1.norm2.weight	F32	128	85869888	identity_bytes	autoencoder_kl.encoder.down_blocks.0.resnets.1.norm2.weight	F32	128	autoencoder_kl	weight
diffusion_pytorch_model.bin	encoder.down_blocks.0.resnets.1.norm2.bias	F32	128	114197696	identity_bytes	autoencoder_kl.encoder.down_blocks.0.resnets.1.norm2.bias	F32	128	autoencoder_kl	weight
diffusion_pytorch_model.bin	encoder.down_blocks.0.resnets.1.conv2.weight	F32	128,128,3,3	142525504	identity_bytes	autoencoder_kl.encoder.down_blocks.0.resnets.1.conv2.weight	F32	128,128,3,3	autoencoder_kl	weight
diffusion_pytorch_model.bin	encoder.down_blocks.0.resnets.1.conv2.bias	F32	128	150728128	identity_bytes	autoencoder_kl.encoder.down_blocks.0.resnets.1.conv2.bias	F32	128	autoencoder_kl	weight
diffusion_pytorch_model.bin	encoder.down_blocks.0.downsamplers.0.conv.weight	F32	128,128,3,3	155456832	identity_bytes	autoencoder_kl.encoder.down_blocks.0.downsamplers.0.conv.weight	F32	128,128,3,3	autoencoder_kl	weight
diffusion_pytorch_model.bin	encoder.down_blocks.0.downsamplers.0.conv.bias	F32	128	163133120	identity_bytes	autoencoder_kl.encoder.down_blocks.0.downsamplers.0.conv.bias	F32	128	autoencoder_kl	weight
diffusion_pytorch_model.bin	encoder.down_blocks.1.resnets.0.norm1.weight	F32	128	165039744	identity_bytes	autoencoder_kl.encoder.down_blocks.1.resnets.0.norm1.weight	F32	128	autoencoder_kl	weight
