source_file	source_name	source_dtype	source_shape	source_offset	transformation	destination_name	destination_dtype	destination_shape	component	role
selfie_multiclass_256x256.tflite	model/segmentation_model_3/xeno_former_3/conv2d_84/BiasAdd/ReadVariableOp/resource	F32	16	16286940	identity_bytes	tensor.5	F32	16	semantic_segmenter_xenoformer	weight
selfie_multiclass_256x256.tflite	model/segmentation_model_3/xeno_former_3/inverted_bottleneck_block_18/batch_normalization/FusedBatchNormV3	F32	96	16286544	identity_bytes	tensor.6	F32	96	semantic_segmenter_xenoformer	weight
selfie_multiclass_256x256.tflite	model/segmentation_model_3/xeno_former_3/inverted_bottleneck_block_18/batch_normalization_1/FusedBatchNormV3	F32	96	16286148	identity_bytes	tensor.7	F32	96	semantic_segmenter_xenoformer	weight
selfie_multiclass_256x256.tflite	model/segmentation_model_3/xeno_former_3/inverted_bottleneck_block_19/batch_normalization/FusedBatchNormV3	F32	384	16284600	identity_bytes	tensor.8	F32	384	semantic_segmenter_xenoformer	weight
selfie_multiclass_256x256.tflite	model/segmentation_model_3/xeno_former_3/inverted_bottleneck_block_19/batch_normalization_1/FusedBatchNormV3	F32	384	16283052	identity_bytes	tensor.9	F32	384	semantic_segmenter_xenoformer	weight
selfie_multiclass_256x256.tflite	model/segmentation_model_3/xeno_former_3/inverted_bottleneck_block_20/batch_normalization/FusedBatchNormV3	F32	768	16279968	identity_bytes	tensor.10	F32	768	semantic_segmenter_xenoformer	weight
selfie_multiclass_256x256.tflite	model/segmentation_model_3/xeno_former_3/inverted_bottleneck_block_20/batch_normalization_1/FusedBatchNormV3	F32	768	16276884	identity_bytes	tensor.11	F32	768	semantic_segmenter_xenoformer	weight
selfie_multiclass_256x256.tflite	model/segmentation_model_3/xeno_former_3/inverted_bottleneck_block_21/batch_normalization/FusedBatchNormV3	F32	768	16273800	identity_bytes	tensor.12	F32	768	semantic_segmenter_xenoformer	weight
selfie_multiclass_256x256.tflite	model/segmentation_model_3/xeno_former_3/inverted_bottleneck_block_21/batch_normalization_1/FusedBatchNormV3	F32	768	16270716	identity_bytes	tensor.13	F32	768	semantic_segmenter_xenoformer	weight
selfie_multiclass_256x256.tflite	model/segmentation_model_3/xeno_former_3/conv2d_85/BiasAdd/ReadVariableOp/resource	F32	128	16270192	identity_bytes	tensor.14	F32	128	semantic_segmenter_xenoformer	weight
selfie_multiclass_256x256.tflite	model/segmentation_model_3/xeno_former_3/conv2d_86/BiasAdd/ReadVariableOp/resource	F32	128	16269668	identity_bytes	tensor.15	F32	128	semantic_segmenter_xenoformer	weight
selfie_multiclass_256x256.tflite	model/segmentation_model_3/xeno_former_3/linear_attention_27/conv2d_2/BiasAdd/ReadVariableOp/resource	F32	128	16269144	identity_bytes	tensor.16	F32	128	semantic_segmenter_xenoformer	weight
selfie_multiclass_256x256.tflite	model/segmentation_model_3/xeno_former_3/linear_attention_28/conv2d_2/BiasAdd/ReadVariableOp/resource	F32	128	16268620	identity_bytes	tensor.17	F32	128	semantic_segmenter_xenoformer	weight
selfie_multiclass_256x256.tflite	model/segmentation_model_3/xeno_former_3/inverted_bottleneck_block_22/batch_normalization/FusedBatchNormV3	F32	1536	16262464	identity_bytes	tensor.18	F32	1536	semantic_segmenter_xenoformer	weight
