role	relative_path	size_bytes	sha256	required	provenance_status
model.card_license_reference	model/README.md	17227	20a3e71f525195253c9927ad0ed87f1f3a63d9c0c8cc0c26ec226f3a1725bb57	yes	MODELSCOPE_REVISION_SHA256_VERIFIED
decoder.checkpoint	model/Wan2.1_VAE.pth	507609880	38071ab59bd94681c686fa51d75a1968f64e470262043be31f7a094e442fd981	yes	MODELSCOPE_REVISION_SHA256_VERIFIED
model.repository_metadata	model/configuration.json	1087	8f960f1740890064598d022e3c7c1e839aa64ee9a7fe380b7f4de60d58e03de7	yes	MODELSCOPE_REVISION_SHA256_VERIFIED
tokenizer.asset	model/google/umt5-xxl/special_tokens_map.json	6623	7b8a9f5040adb67b5805abdfd42c1f8d0f3d0e711f10726580eb3789cd0ad61d	yes	MODELSCOPE_REVISION_SHA256_VERIFIED
tokenizer.asset	model/google/umt5-xxl/spiece.model	4548313	e3909a67b780650b35cf529ac782ad2b6b26e6d1f849d3fbb6a872905f452458	yes	MODELSCOPE_REVISION_SHA256_VERIFIED
tokenizer.asset	model/google/umt5-xxl/tokenizer.json	16837417	6e197b4d3dbd71da14b4eb255f4fa91c9c1f2068b20a2de2472967ca3d22602b	yes	MODELSCOPE_REVISION_SHA256_VERIFIED
tokenizer.asset	model/google/umt5-xxl/tokenizer_config.json	61728	ed9a3a8b0faa71a70a32847e0435fe036e6e112d4df4edb7bb48a921e344dc05	yes	MODELSCOPE_REVISION_SHA256_VERIFIED
transformer.config	model/high_noise_model/config.json	250	691a47e123c3dd41f134836fd9a00e744110c6a812a11b3d95ca70e9485ffe11	yes	MODELSCOPE_REVISION_SHA256_VERIFIED
transformer.shard	model/high_noise_model/diffusion_pytorch_model-00001-of-00006.safetensors	9992481544	cb58f36df7e604c6e7b0df80a3f6f9b72c77695e581e19985fc3a0e6732ba1e2	yes	MODELSCOPE_REVISION_SHA256_VERIFIED
transformer.shard	model/high_noise_model/diffusion_pytorch_model-00002-of-00006.safetensors	9943937936	6719620a0feb4553d0306296ba4fad7d6d3b70b666fcbd02ad41fd21df3ab6af	yes	MODELSCOPE_REVISION_SHA256_VERIFIED
transformer.shard	model/high_noise_model/diffusion_pytorch_model-00003-of-00006.safetensors	9943979184	0eb7864481499e65698ab94ddfad00e1289960b9f1a45aed6530ba6701859513	yes	MODELSCOPE_REVISION_SHA256_VERIFIED
transformer.shard	model/high_noise_model/diffusion_pytorch_model-00004-of-00006.safetensors	9839059744	8646c9af94dbb2917380dbb6c2ba7fa34332566f2f9f0f508750e377fdad8e0a	yes	MODELSCOPE_REVISION_SHA256_VERIFIED
transformer.shard	model/high_noise_model/diffusion_pytorch_model-00005-of-00006.safetensors	9839059744	743ca2839d8339eeac1419de9bcfb6f02d4eab4264b01db6d4970047ae9385d0	yes	MODELSCOPE_REVISION_SHA256_VERIFIED
transformer.shard	model/high_noise_model/diffusion_pytorch_model-00006-of-00006.safetensors	7595559224	78e445e6ca232fb2b8669673b8f7e2f607f84b12e0489429577e8aea624ad7c1	yes	MODELSCOPE_REVISION_SHA256_VERIFIED
transformer.index	model/high_noise_model/diffusion_pytorch_model.safetensors.index.json	96805	f0d2171c391bb73944c3ff3b279b09c599b20bbba62bb45ac3e56282b840a9a6	yes	MODELSCOPE_REVISION_SHA256_VERIFIED
transformer.config	model/low_noise_model/config.json	250	691a47e123c3dd41f134836fd9a00e744110c6a812a11b3d95ca70e9485ffe11	yes	MODELSCOPE_REVISION_SHA256_VERIFIED
transformer.shard	model/low_noise_model/diffusion_pytorch_model-00001-of-00006.safetensors	9992481544	f2a6df8981742260b3f2cd8b51a276eb0ffa0332c9bbbadc3d625f269096f01c	yes	MODELSCOPE_REVISION_SHA256_VERIFIED
transformer.shard	model/low_noise_model/diffusion_pytorch_model-00002-of-00006.safetensors	9943937936	ea3998b0b394ede1df6c8cb9ea44f1bed0d3d7018bd8113baca9ff74e100b5d9	yes	MODELSCOPE_REVISION_SHA256_VERIFIED
transformer.shard	model/low_noise_model/diffusion_pytorch_model-00003-of-00006.safetensors	9943979184	e1222162ecdc5a8bb4815f78ae42951cdc3e50a3fe41d8f592462d28f8638681	yes	MODELSCOPE_REVISION_SHA256_VERIFIED
transformer.shard	model/low_noise_model/diffusion_pytorch_model-00004-of-00006.safetensors	9839059744	9fdd1165fe0c5efd87036b3722e69f1d2004bd27396905a997afb7ddf7f22edf	yes	MODELSCOPE_REVISION_SHA256_VERIFIED
transformer.shard	model/low_noise_model/diffusion_pytorch_model-00005-of-00006.safetensors	9839059744	04909e9fa1f15de79851230c7f223a0c96fcfd629bdd914b21c9344cec63c78a	yes	MODELSCOPE_REVISION_SHA256_VERIFIED
transformer.shard	model/low_noise_model/diffusion_pytorch_model-00006-of-00006.safetensors	7595559224	7a481d5adcc53ed3ae8b3222b4c4ee63bac6703dae9ff6c62a7d52e546c88809	yes	MODELSCOPE_REVISION_SHA256_VERIFIED
transformer.index	model/low_noise_model/diffusion_pytorch_model.safetensors.index.json	96805	f0d2171c391bb73944c3ff3b279b09c599b20bbba62bb45ac3e56282b840a9a6	yes	MODELSCOPE_REVISION_SHA256_VERIFIED
text_encoder.checkpoint	model/models_t5_umt5-xxl-enc-bf16.pth	11361920418	7cace0da2b446bbbbc57d031ab6cf163a3d59b366da94e5afe36745b746fd81d	yes	MODELSCOPE_REVISION_SHA256_VERIFIED
source.license	official_source/LICENSE.txt	11357	c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4	yes	GIT_REVISION_VERIFIED
source.readme	official_source/README.md	35345	c04923dc9c509fe56b7f08a958b815dc62eb741a3969ad9d7a7586460b504ab5	no	GIT_REVISION_VERIFIED
source.semantic_reference	official_source/wan/configs/shared_config.py	945	3ae102e029d4d0e3436ebbaa9f8fd32c10e8468ae8be07facdca2e20ec1858fe	yes	GIT_REVISION_VERIFIED
source.semantic_reference	official_source/wan/configs/wan_t2v_A14B.py	1023	a1f3a70472aece6d7a3cfe83ed39be829e957484db23069c13c7a3c35ac07a48	yes	GIT_REVISION_VERIFIED
source.semantic_reference	official_source/wan/modules/model.py	18097	8b39115298ca7322806c19b3165b3f435a94fe4a58f0624aec24f8e7f4997432	yes	GIT_REVISION_VERIFIED
source.semantic_reference	official_source/wan/modules/t5.py	16910	8b0cebf3192c542f92a344255a06c203df3ba24160715899a055cc8de0cd930f	yes	GIT_REVISION_VERIFIED
source.semantic_reference	official_source/wan/modules/tokenizers.py	2431	cf5b189c1ae017326efadab2fc6380ba223fa7a59d0be6464bd264db53c76934	yes	GIT_REVISION_VERIFIED
source.semantic_reference	official_source/wan/modules/vae2_1.py	23171	d0dfe9eccd0cdbcb37ffde9887579be58f4c1bb6fc2dbb1b72e8916e170df180	yes	GIT_REVISION_VERIFIED
source.semantic_reference	official_source/wan/text2video.py	14679	2f212e1f6d7ba4408a25998091b70ee35dde8bcaaeaedd3ba03d6cdab84dc683	yes	GIT_REVISION_VERIFIED
source.semantic_reference	official_source/wan/utils/fm_solvers.py	40142	b870bdc7253593b75097896b2351e74f747f76d756f58f1b4b0008d6821ae811	yes	GIT_REVISION_VERIFIED
source.semantic_reference	official_source/wan/utils/fm_solvers_unipc.py	32558	0dec8c7ed17f6f2049275c6848113314da6ccec1c8db5bdc89df43c05c6038d9	yes	GIT_REVISION_VERIFIED
