source_file	source_name	source_dtype	source_shape	source_offset	transformation	destination_name	destination_dtype	destination_shape	component	role
vae	conv1.bias	F32	32	253722368	identity_bytes	component.vae.conv1.bias	F32	32	vae.decoder	weight
vae	conv1.weight	F32	32,32,1,1,1	253752704	identity_bytes	component.vae.conv1.weight	F32	32,32,1,1,1	vae.decoder	weight
vae	conv2.bias	F32	16	253722176	identity_bytes	component.vae.conv2.bias	F32	16	vae.decoder	weight
vae	conv2.weight	F32	16,16,1,1,1	253730176	identity_bytes	component.vae.conv2.weight	F32	16,16,1,1,1	vae.decoder	weight
vae	decoder.conv1.bias	F32	384	126860736	identity_bytes	component.vae.decoder.conv1.bias	F32	384	vae.decoder	weight
vae	decoder.conv1.weight	F32	384,16,3,3,3	253756800	identity_bytes	component.vae.decoder.conv1.weight	F32	384,16,3,3,3	vae.decoder	weight
vae	decoder.head.0.gamma	F32	96,1,1,1	39616	identity_bytes	component.vae.decoder.head.0.gamma	F32	96,1,1,1	vae.decoder	weight
vae	decoder.head.2.bias	F32	3	380827136	identity_bytes	component.vae.decoder.head.2.bias	F32	3	vae.decoder	weight
vae	decoder.head.2.weight	F32	3,96,3,3,3	106432	identity_bytes	component.vae.decoder.head.2.weight	F32	3,96,3,3,3	vae.decoder	weight
vae	decoder.middle.0.residual.0.gamma	F32	384,1,1,1	126862272	identity_bytes	component.vae.decoder.middle.0.residual.0.gamma	F32	384,1,1,1	vae.decoder	weight
vae	decoder.middle.0.residual.2.bias	F32	384	253740416	identity_bytes	component.vae.decoder.middle.0.residual.2.bias	F32	384	vae.decoder	weight
vae	decoder.middle.0.residual.2.weight	F32	384,384,3,3,3	190021056	identity_bytes	component.vae.decoder.middle.0.residual.2.weight	F32	384,384,3,3,3	vae.decoder	weight
vae	decoder.middle.0.residual.3.gamma	F32	384,1,1,1	253741952	identity_bytes	component.vae.decoder.middle.0.residual.3.gamma	F32	384,1,1,1	vae.decoder	weight
vae	decoder.middle.0.residual.6.bias	F32	384	55360	identity_bytes	component.vae.decoder.middle.0.residual.6.bias	F32	384	vae.decoder	weight
vae	decoder.middle.0.residual.6.weight	F32	384,384,3,3,3	317126016	identity_bytes	component.vae.decoder.middle.0.residual.6.weight	F32	384,384,3,3,3	vae.decoder	weight
vae	decoder.middle.1.norm.gamma	F32	384,1,1	56896	identity_bytes	component.vae.decoder.middle.1.norm.gamma	F32	384,1,1	vae.decoder	weight
vae	decoder.middle.1.proj.bias	F32	384	380845964	identity_bytes	component.vae.decoder.middle.1.proj.bias	F32	384	vae.decoder	weight
